frame_num;sec;nsec;yaw;pitch;roll;north_c;east_c;down_c;north;east;down;vx;vy;vz;gimbal_roll;gimbal_pitch;gps_time_week
64;1664534697;78455250;1.38045;-0.0251567;0.00185748;208.015;-686.232;170.868;188.487;-675.289;-0.00462341;0.000432793;-0.00102446;-0.00519451;-0.016;-0.001;0
65;1664534697;178436426;1.38016;-0.0251439;0.00185553;208.015;-686.232;170.868;188.486;-675.29;-0.00466919;0.000857589;-4.82341e-05;-0.00557597;-0.006;-0.001;0
66;1664534697;278423137;1.38035;-0.0255411;0.00185832;208.016;-686.233;170.868;188.486;-675.289;-0.00376892;0.000884374;0.00126932;-0.00484048;0.016;0.001;0
67;1664534697;378398329;1.38255;-0.0254846;0.0019163;208.018;-686.233;170.868;188.485;-675.29;-0.00382996;0.000501429;-0.0022298;-0.00349659;-0.001;0.003;0
68;1664534697;478380657;1.38198;-0.0251519;0.00193139;208.018;-686.233;170.868;188.485;-675.29;-0.00491333;9.87332e-05;-0.0018577;-0.00319946;-0.003;0.001;0
69;1664534697;578356969;1.38231;-0.0250289;0.00201483;208.018;-686.233;170.868;188.484;-675.29;-0.00619507;0.00100139;-0.00324981;-0.00371209;-0.013;-0.009;0
70;1664534697;678335105;1.38243;-0.0249491;0.00174786;208.016;-686.233;170.868;188.484;-675.29;-0.00770569;-0.00103995;0.00174612;-0.0048278;0.002;-0.007;0
71;1664534697;778324887;1.38162;-0.0249978;0.00229786;208.016;-686.233;170.868;188.483;-675.29;-0.00923157;-0.000190895;-0.000666423;-0.00539691;0.017;0.05;0
72;1664534697;878298576;1.38311;-0.0250006;0.00249123;208.016;-686.234;170.868;188.483;-675.29;-0.0110626;0.00521156;-0.00485656;-0.00691085;0.009;-0.071;0
73;1664534697;978251342;1.38267;-0.0249706;0.00203445;208.016;-686.234;170.868;188.486;-675.287;-0.0144196;-0.000270375;-0.00508747;-0.00887185;-0.002;-0.14;0
74;1664534698;78257767;1.38208;-0.0247293;0.00254787;208.017;-686.233;170.868;188.49;-675.285;-0.0189972;0.000523263;-0.00552574;-0.0119914;0.038;-0.127;0
75;1664534698;178231359;1.38194;-0.0248562;0.00280926;208.017;-686.233;170.868;188.493;-675.285;-0.024231;0.00374272;0.000723106;-0.0143311;0.03;0.161;0
76;1664534698;278214644;1.38125;-0.0250538;0.00206105;208.016;-686.234;170.867;188.494;-675.286;-0.0289917;-0.000679572;0.00377167;-0.0172611;-0.05;-0.035;0
77;1664534698;378196714;1.38221;-0.0251753;0.00332766;208.016;-686.234;170.867;188.495;-675.284;-0.0327911;0.00666;-0.00457538;-0.0227811;-0.012;-0.134;0
78;1664534698;478172481;1.38222;-0.0252631;0.00229912;208.017;-686.231;170.867;188.496;-675.282;-0.0330963;-0.0063856;0.00169794;-0.0230379;-0.043;-0.012;0
79;1664534698;578149304;1.38104;-0.0248628;0.00260494;208.017;-686.231;170.867;188.496;-675.281;-0.0345001;0.00379711;-0.000881306;-0.0256994;-0.003;-0.05;0
80;1664534698;678132269;1.38164;-0.0242798;0.00295655;208.018;-686.234;170.868;188.497;-675.28;-0.0379028;0.00106924;0.00151331;-0.0261332;-0.303;-0.048;0
81;1664534698;778112931;1.3826;-0.0248143;0.00301585;208.018;-686.234;170.868;188.496;-675.282;-0.0411835;-0.00825337;-0.00328525;-0.0247816;-1.054;0.116;0
82;1664534698;878086619;1.38264;-0.0248502;0.00225346;208.014;-686.234;170.867;188.496;-675.284;-0.0435791;-0.00115312;0.0034549;-0.0283388;-0.897;0.223;0
83;1664534698;978057747;1.38221;-0.0253165;0.00306836;208.014;-686.234;170.867;188.495;-675.286;-0.0473938;-0.00172401;-0.0113133;-0.029914;-0.828;0.091;0
84;1664534699;78065667;1.3836;-0.0250209;0.0033074;208.019;-686.232;170.867;188.495;-675.288;-0.0523834;-0.00874576;0.00707442;-0.0339101;0.746;-0.028;0
85;1664534699;178029575;1.38207;-0.0259094;0.00281572;208.019;-686.232;170.867;188.494;-675.289;-0.0570679;0.00220662;-0.00216852;-0.0384543;0.065;0.227;0
86;1664534699;278015495;1.38091;-0.0260957;0.0032732;208.016;-686.234;170.867;188.493;-675.289;-0.0615387;-0.00854821;-0.00163134;-0.042604;-1.018;-0.075;0
87;1664534699;377977067;1.3826;-0.0261192;0.00290818;208.016;-686.234;170.867;188.492;-675.29;-0.0639954;-0.00577019;-0.00689687;-0.0418834;0.103;0.069;0
88;1664534699;477961899;1.38154;-0.0239967;0.00269197;208.017;-686.233;170.867;188.49;-675.291;-0.0660095;-0.0145923;-0.00493684;-0.0343334;0.304;0.032;0
89;1664534699;577947787;1.37914;-0.0209223;0.00340212;208.017;-686.233;170.867;188.489;-675.292;-0.066452;-0.0192083;-0.00626677;-0.0292935;-0.046;0.167;0
90;1664534699;677943497;1.37976;-0.0170905;0.00463821;208.016;-686.233;170.867;188.486;-675.293;-0.0645447;-0.0245328;-0.00776565;-0.0213611;-0.081;-0.066;0
91;1664534699;777903725;1.38318;-0.0126147;0.00410339;208.016;-686.233;170.867;188.483;-675.294;-0.0584412;-0.0314094;-0.00391516;0.0178807;-0.229;0;0
92;1664534699;877884014;1.38371;-0.00238108;0.00593729;208.018;-686.234;170.866;188.479;-675.295;-0.0469208;-0.0529126;0.00171634;0.115338;-0.449;-0.049;0
93;1664534699;977848146;1.38424;0.00463465;0.00209114;208.018;-686.234;170.866;188.473;-675.296;-0.0238647;-0.0786465;0.00783799;0.292067;-0.306;0.021;0
94;1664534700;77838473;1.38865;0.00500279;-0.00722265;208.015;-686.233;170.867;188.464;-675.297;0.0154572;-0.100108;0.004176;0.462202;-0.29;0.241;0
95;1664534700;177823327;1.39348;0.00673821;-0.0129346;208.015;-686.233;170.867;188.449;-675.301;0.0764618;-0.110478;-0.0015849;0.662195;-0.148;0.27;0
96;1664534700;277797687;1.39614;0.00484215;-0.0136292;208.018;-686.233;170.867;188.433;-675.304;0.164948;-0.121921;-0.00807155;0.856829;-0.119;0.001;0
97;1664534700;377800681;1.394;0.00127833;-0.00681491;208.018;-686.233;170.867;188.416;-675.306;0.275314;-0.133901;-0.0118159;1.03671;-0.029;-0.013;0
98;1664534700;477748071;1.38011;-0.00157729;-0.00334537;208.015;-686.233;170.866;188.4;-675.308;0.410416;-0.143744;-0.0124383;1.24013;0.012;-0.07;0
99;1664534700;577728798;1.32514;-0.00889355;-0.00485882;208.015;-686.233;170.866;188.375;-675.311;0.569656;-0.159184;-0.00399875;1.516;0.121;0.022;0
100;1664534700;677717395;1.23341;-0.0174932;-0.00693694;208.017;-686.233;170.867;188.35;-675.312;0.756683;-0.164803;0.0120687;1.82561;0.233;-0.058;0
101;1664534700;777710023;1.11804;-0.0234965;-0.00853743;208.017;-686.233;170.867;188.33;-675.314;0.980606;-0.168488;0.0338288;2.12047;0.282;-0.025;0
102;1664534700;877649415;0.998176;-0.0258932;-0.010131;208.015;-686.233;170.866;188.313;-675.312;1.24632;-0.16765;0.0557435;2.36306;0.164;0.001;0
103;1664534700;977638300;0.889929;-0.0231867;-0.0118086;208.015;-686.233;170.866;188.301;-675.306;1.53;-0.160956;0.0884225;2.49799;0.032;-0.098;0
104;1664534701;77638543;0.786433;-0.0183954;-0.0181704;208.017;-686.234;170.867;188.287;-675.297;1.82332;-0.150622;0.105706;2.62476;-0.169;-0.028;0
105;1664534701;177606954;0.683386;-0.0154072;-0.025033;208.017;-686.234;170.867;188.271;-675.284;2.1331;-0.138969;0.121308;2.69438;-0.185;-0.057;0
106;1664534701;277585827;0.604937;-0.0160925;-0.03571;208.016;-686.231;170.866;188.254;-675.271;2.4487;-0.128198;0.137544;2.6743;-0.082;0.121;0
